如下实体相似度高，可能存在同义实体！
遗传	心律不齐 相似度：0.9024853250751722
霉菌	胸片 相似度：0.9005220742091741
霉菌	化脓性胸膜炎 相似度：0.9045189330094394
霉菌	面部水肿 相似度：0.9003034427437873
霉菌	间质性肺病 相似度：0.9013333974401628
海鲜	白三烯等其他药物 相似度：0.9055096582983626
海鲜	热原树脂 相似度：0.9024298493247677
海鲜	结缔组织相关性肺间质疾病 相似度：0.9019996774067959
海鲜	关节变形 相似度：0.9020181265686277
海鲜	感染 相似度：0.9051338491437653
海鲜	免疫系统疾病 相似度：0.9048409534283125
海鲜	化脓性胸腔积液 相似度：0.9005789369457899
海鲜	干咳 相似度：0.9015430700042538
海鲜	放射性同位素检查 相似度：0.9011148464149358
海鲜	紫纹 相似度：0.9026365859881512
海鲜	病理诊断 相似度：0.9046681587807484
海鲜	骨结核 相似度：0.9004397361995864
海鲜	颈淋巴结结核 相似度：0.9059799423426429
海鲜	结核性腹膜炎 相似度：0.9005105899018717
海鲜	HIV感染者 相似度：0.9014564928576001
牛奶	双肺闻及散在或弥漫性 相似度：0.9011378613534894
牛奶	月经性气胸 相似度：0.9012548493959417
牛奶	AB型胸腺瘤 相似度：0.9005815021834278
牛奶	肺真菌病 相似度：0.902250161603064
牛奶	支气管炎 相似度：0.9017294561892961
心得安药物	感染 相似度：0.9002412906015754
心得安药物	手术 相似度：0.9004224937944559
心得安药物	上睑提肌和眼外肌受累 相似度：0.9025917818290942
高度紧张	组织活检证实或符合结节病 相似度：0.9024090557400613
高度紧张	关节变形 相似度：0.9017472985414718
高度紧张	胸部X片见两肺弥漫性散在分布的颗粒样结节状阴影 相似度：0.9036851901800704
高度紧张	胆固醇性胸腔积液 相似度：0.9007206738510614
高度紧张	干咳 相似度：0.9040837687941446
高度紧张	良性畸胎瘤 相似度：0.9007029885880786
高度紧张	重症肌无力IV型 相似度：0.9014122396572177
高度紧张	中度全身型 相似度：0.9004969140479894
高度紧张	胸腺角化鳞癌 相似度：0.9013525312216719
高度紧张	分期治疗 相似度：0.9079034874120299
高度紧张	咳血（有时） 相似度：0.9026345995137165
高度紧张	血红蛋白 相似度：0.9004450896988085
高度紧张	多发性神经纤维瘤 相似度：0.9016579389054642
高度紧张	心力衰竭 相似度：0.9003676892187944
家族遗传人群	真菌性胸膜炎 相似度：0.9009157871375074
慢性咳嗽	皮质为主型 相似度：0.9045658881109224
食物性哮喘	感染 相似度：0.901091424888542
血常规	气道重塑 相似度：0.9001573013997235
肺功能检查	组织活检证实或符合结节病 相似度：0.9014811365589401
胸部X线检查	疱疹病毒 相似度：0.9023218812626594
过敏原测试	疱疹病毒 相似度：0.9015579501767725
过敏原测试	糖皮质激素 相似度：0.9030397944226372
反复喘息气急咳嗽	沮肺散寒，化痰平喘 相似度：0.9004859370579367
肺部感染	关节变形 相似度：0.9037561887262412
肺部感染	癌细胞致胸导管阻塞 相似度：0.9020507077127063
肺部感染	肉眼见侵犯邻近结构(如心包、大血管或肺) 相似度：0.9000479753463813
酸碱失衡	良性畸胎瘤 相似度：0.9031634950201032
气胸和纵膈气肿	向心性肥胖 相似度：0.9002573930438748
气胸和纵膈气肿	间质性肺病 相似度：0.9045411890724961
多脏器衰竭	过敏 相似度：0.9011928026890264
多脏器衰竭	间质性肺病 相似度：0.9003985463736032
多脏器功能不全	锁骨上淋巴结肿大 相似度：0.9030514949160063
胸廓畸形	月经不调 相似度：0.9000851399539117
肺动脉高压	肉眼见完整包膜，无镜下包膜外侵犯 相似度：0.9021464332909004
慢性肺心病	神经痛 相似度：0.9012126257775545
免疫抑制剂（环孢素A等）	硫锉嘌呤 相似度：0.9018896866791364
免疫抑制剂（环孢素A等）	心功能衰竭 相似度：0.9029012950778939
白三烯等其他药物	重症肌无力危象 相似度：0.9014516859042269
白三烯等其他药物	支气管炎 相似度：0.9027526281485689
哮喘（脾虚）	MRI 相似度：0.9001012210951526
气道重塑	有害气体 相似度：0.9044680289318165
气道重塑	手术治疗 相似度：0.9007293614991304
气道重塑	多发性神经纤维瘤 相似度：0.9004501273039164
弥漫性肺疾病	感染 相似度：0.9008733750700687
Interstitial Lung disease	良性胸内甲状腺肿 相似度：0.9036520838667785
ILD	张力性气胸 相似度：0.9016744437309182
外源性过敏性肺泡炎	苯乙酸氮芥 相似度：0.9017357099364095
环境中的各类过敏原	支气管炎 相似度：0.9024700619461958
空调	癌细胞致胸导管阻塞 相似度：0.9012784227166311
有害气体	疱疹病毒 相似度：0.9008202621387723
有害气体	组织活检证实或符合结节病 相似度：0.9009173937577516
有害气体	胸平片 相似度：0.9000313970757572
有害气体	西咪替丁 相似度：0.9010977223160744
有害气体	鳞癌 相似度：0.9033528273634087
有害气体	超声气管内窥镜下活检检查EBUS 相似度：0.900865436991675
烟雾	双膦盐酸治疗 相似度：0.9000384576630632
抗肿瘤药物	组织活检证实或符合结节病 相似度：0.901082320421314
抗肿瘤药物	结缔组织相关性肺间质疾病 相似度：0.9041264785186683
抗肿瘤药物	肺炎旁胸腔积液 相似度：0.9020296286507162
抗肿瘤药物	放射性同位素检查 相似度：0.9052854620529475
抗肿瘤药物	磁共振 相似度：0.90316953753775
抗肿瘤药物	肺不张 相似度：0.902472641036056
抗肿瘤药物	小细胞肺癌 相似度：0.9028662070851868
抗肿瘤药物	超声气管内窥镜下活检检查EBUS 相似度：0.9003928875131384
抗肿瘤药物	气道播散 相似度：0.902076024716279
抗肿瘤药物	HIV感染者 相似度：0.9003506032995232
抗肿瘤药物	支气管炎 相似度：0.9035643924846518
心血管药物	二异氰甲苯 相似度：0.9031774884543664
心血管药物	肺康复治疗 相似度：0.9021972978336844
心血管药物	关节变形 相似度：0.9003934683928763
心血管药物	发病与月经周期密切相关 相似度：0.9001376253331167
心血管药物	胸腔穿刺术 相似度：0.9005964467363202
心血管药物	次全淋巴结照射 相似度：0.9058825207677611
心血管药物	分期治疗 相似度：0.9011845907037105
口服避孕药	与移植物排斥反应相关的ILD 相似度：0.9049982053671775
口服避孕药	医源性气胸 相似度：0.902476364332912
违禁药物	MRI 相似度：0.9012593479124831
类固醇抗炎药剂	间质性肺病 相似度：0.9013647958722575
氧疗	肠源性重复囊肿 相似度：0.9003411925447287
氧疗	支气管炎 相似度：0.9003498938953417
细菌	干咳 相似度：0.9052343037404265
细菌	分期治疗 相似度：0.9055195427935182
细菌	少吃多餐，每次可进食4到5次 相似度：0.9011574734005011
石棉肺	胸部X片见两肺弥漫性散在分布的颗粒样结节状阴影 相似度：0.900546999493721
石棉肺	不饮酒或少饮酒 相似度：0.900277847564875
慢性铍肺	疱疹病毒 相似度：0.900245498987647
慢性铍肺	感染 相似度：0.9026956115882628
慢性铍肺	月经性气胸 相似度：0.9022899431323532
慢性铍肺	肺脓肿 相似度：0.9002061454841562
慢性铍肺	肺吸虫病 相似度：0.9001556833850141
慢性铍肺	硬皮病 相似度：0.9082236040352889
慢性铍肺	胸部CT平扫 相似度：0.9053004578020799
慢性铍肺	向心性肥胖 相似度：0.9020358286166181
慢性铍肺	分期治疗 相似度：0.9014017774903978
慢性铍肺	白细胞 相似度：0.9008620097078303
二氧化硫	与移植物排斥反应相关的ILD 相似度：0.9077187061838872
二氧化硫	口唇青紫 相似度：0.9003636033199721
二氧化硫	关节变形 相似度：0.9027044841072347
二氧化硫	缓着一旦妊娠或应用抑制排卵药物，可防止本病的发生 相似度：0.905247666262482
二氧化硫	肺炎旁胸腔积液 相似度：0.9005560388447754
二氧化硫	活动后气促 相似度：0.9001252888348665
二氧化硫	夜间盗汗 相似度：0.9054957476336613
二氧化硫	较严重的四肢无力，生活不能自理 相似度：0.9007674652526898
二氧化硫	心律不齐 相似度：0.9006204365927936
二氧化硫	结核性腹膜炎 相似度：0.90054110858595
二异氰甲苯	病毒性肺炎 相似度：0.9002775041236855
其他理化因素引起的ILD	小细胞肺癌 相似度：0.9020061540010312
其他理化因素引起的ILD	深静脉血栓 相似度：0.9006131991862307
